City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Suzhou,CN,39.07,light rain,31.3114,120.6181,Holiday Inn Jasmine Suzhou
649,Sabzevar,IR,47.48,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
650,Hvide Sande,DK,45.19,light rain,56.0045,8.1294,Hvide Sande Hotel
653,Rorvik,NO,26.71,few clouds,64.8621,11.2373,Kysthotellet Rørvik AS
656,Maneadero,MX,47.21,clear sky,31.7167,-116.5667,Casa De Thompson
657,Shahreza,IR,46.17,clear sky,32.0339,51.8794,خوابگاه
659,Den Helder,NL,46.38,broken clouds,52.9599,4.7593,Hotel Den Helder
663,Kaseda,JP,46.02,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
673,Ziro,IN,35.37,overcast clouds,27.6333,93.8333,Ka-ngam homestay
675,Troitsk,RU,25.41,overcast clouds,54.0979,61.5773,Hotel H2O
678,Rio Gallegos,AR,48.25,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
679,Pahrump,US,38.32,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
689,Alpine,US,45.57,clear sky,32.835,-116.7664,Ayres Lodge Alpine
696,Raudeberg,NO,42.87,light rain,61.9875,5.1352,Nordre Silda.
699,Roma,US,38.95,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
700,Nunoa,PE,39.06,overcast clouds,-14.48,-70.6411,Quechua Experience - Live true tradition
707,Dasoguz,TM,40.95,overcast clouds,41.8363,59.9666,Hotel Erik
