City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Souillac,MU,-20.5167,57.5167,80.37,92,100,23.55,moderate rain
183,Sangar,RU,63.9242,127.4739,-26.07,98,100,2.89,overcast clouds
184,Mayo,US,38.8876,-76.5119,46.08,95,100,3.0,moderate rain
185,Billings,US,45.7833,-108.5007,10.29,67,17,8.99,few clouds
186,Vaals,NL,50.7708,6.0181,45.1,79,100,14.45,overcast clouds
187,Diplo,PK,24.4667,69.584,72.46,23,0,4.52,clear sky
188,Parkes,AU,-33.1333,148.1833,62.35,50,0,8.16,clear sky
189,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,3,5.99,clear sky
190,Padang,ID,-0.9492,100.3543,77.05,89,100,4.43,moderate rain
191,Luanda,AO,-8.8368,13.2343,80.69,64,11,13.49,few clouds
192,Nhulunbuy,AU,-12.2333,136.7667,83.01,83,40,11.5,scattered clouds
193,Adre,TD,13.4667,22.2,88.16,11,10,1.97,clear sky
194,Naze,JP,28.3667,129.4833,55.15,86,100,15.05,moderate rain
195,Weiser,US,44.251,-116.9693,28.47,89,92,2.75,overcast clouds
196,Rafai,CF,4.95,23.9167,100.4,13,98,4.27,overcast clouds
197,Faya,SA,18.3851,42.4509,66.72,58,28,8.1,scattered clouds
198,Sile,TR,41.1754,29.6133,43.57,73,100,7.0,light rain
199,Bolzano,IT,46.4927,11.3336,57.52,30,0,3.44,clear sky
200,San Quintin,MX,30.4833,-115.95,52.74,30,1,5.99,clear sky
201,Beira,MZ,-19.8436,34.8389,87.89,70,20,16.11,few clouds
202,Berthierville,CA,46.0834,-73.1824,28.62,81,100,5.99,overcast clouds
203,Ust-Kut,RU,56.7938,105.7672,5.81,97,100,2.24,overcast clouds
204,Bereznik,RU,62.8551,42.7072,11.01,98,97,2.04,overcast clouds
205,Bilma,NE,18.6853,12.9164,70.61,12,0,20.6,clear sky
206,Pacific Grove,US,36.6177,-121.9166,46.81,43,0,3.44,clear sky
207,Adrar,MR,20.5022,-10.0711,79.09,9,0,15.84,clear sky
208,Alta Floresta,BR,-9.8756,-56.0861,78.51,83,90,3.8,moderate rain
209,Cherskiy,RU,68.75,161.3,-25.6,96,5,2.64,clear sky
210,Asau,RO,46.4333,26.4,35.4,88,100,2.39,overcast clouds
211,Celestun,MX,20.8667,-90.4,75.72,78,14,13.58,few clouds
212,Kankaanpaa,FI,61.8,22.4167,12.79,98,44,0.11,scattered clouds
213,Mizdah,LY,31.4451,12.9801,55.9,54,2,18.66,clear sky
214,Road Town,VG,18.4167,-64.6167,80.69,74,20,8.05,few clouds
215,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,14.97,light snow
216,Vila Velha,BR,-20.3297,-40.2925,79.95,83,100,4.21,overcast clouds
217,Vanimo,PG,-2.6741,141.3028,76.98,86,94,3.56,overcast clouds
