City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Mandasa,IN,2022-01-29 22:14:54,18.8667,84.4667,60.44,53,2,3.94
92,Cilegon,ID,2022-01-29 22:14:55,-6.0174,106.0538,76.89,81,100,3.33
93,Beringovskiy,RU,2022-01-29 22:14:55,63.05,179.3167,-11.04,100,96,3.31
94,Coahuayana,MX,2022-01-29 22:14:56,18.7333,-103.6833,87.28,47,0,7.02
95,Lorengau,PG,2022-01-29 22:14:56,-2.0226,147.2712,81.88,78,99,7.07
96,Ust-Uda,RU,2022-01-29 22:14:56,54.1742,103.0304,-23.4,100,97,0.65
97,Amapa,BR,2022-01-29 22:13:15,1.0,-52.0,72.12,98,100,3.06
98,Victoria,HK,2022-01-29 22:13:23,22.2855,114.1577,59.25,82,96,1.01
99,Baykit,RU,2022-01-29 22:14:57,61.67,96.37,-4.54,100,98,1.1
100,Kodiak,US,2022-01-29 22:11:03,57.79,-152.4072,35.11,55,0,25.32
101,Ostersund,SE,2022-01-29 22:14:57,63.1792,14.6357,27.05,100,20,13.8
102,Sao Filipe,CV,2022-01-29 22:14:58,14.8961,-24.4956,71.1,72,100,13.13
103,Loa Janan,ID,2022-01-29 22:14:58,-0.583,117.095,72.73,95,98,1.07
104,Neiafu,TO,2022-01-29 22:14:59,-18.65,-173.9833,82.56,72,72,14.14
105,Guerrero Negro,MX,2022-01-29 22:14:59,27.9769,-114.0611,69.67,29,13,13.09
106,Narsaq,GL,2022-01-29 22:14:59,60.9167,-46.05,12.42,96,100,2.15
107,Bara,NG,2022-01-29 22:15:00,10.3744,10.7288,67.86,17,99,12.08
108,Nouakchott,MR,2022-01-29 22:15:00,18.0858,-15.9785,67.93,61,100,14.97
109,Honningsvag,NO,2022-01-29 22:15:00,70.9821,25.9704,28.89,67,81,9.71
110,Moerai,PF,2022-01-29 22:15:01,-22.4333,-151.3333,79.54,76,5,9.17
111,Nouadhibou,MR,2022-01-29 22:15:01,20.931,-17.0347,64.38,77,91,17.27
112,Galle,LK,2022-01-29 22:15:01,6.0367,80.217,78.57,83,98,6.76
113,Yarmouth,US,2022-01-29 22:15:02,41.7057,-70.2286,25.47,92,100,29.93
